method,variant,seed,source,module_index,module_class,metric,value,notes
FCN + FA-DCG V1.1,v1_1,123,first_test_batch,0,VectorizedLightFADC,dilation_param_std,0.0,VectorizedLightFADC diagnostics collected with forward pre-hooks
FCN + FA-DCG V1.1,v1_1,123,first_test_batch,1,VectorizedLightFADC,alpha_value,0.5061234831809998,VectorizedLightFADC diagnostics collected with forward pre-hooks
FCN + FA-DCG V1.1,v1_1,123,first_test_batch,1,VectorizedLightFADC,gate_mean,0.4753900170326233,VectorizedLightFADC diagnostics collected with forward pre-hooks
FCN + FA-DCG V1.1,v1_1,123,first_test_batch,1,VectorizedLightFADC,gate_std,0.3143824636936188,VectorizedLightFADC diagnostics collected with forward pre-hooks
FCN + FA-DCG V1.1,v1_1,123,first_test_batch,1,VectorizedLightFADC,depthwise_weight_mean,-0.016611099243164062,VectorizedLightFADC diagnostics collected with forward pre-hooks
FCN + FA-DCG V1.1,v1_1,123,first_test_batch,1,VectorizedLightFADC,depthwise_weight_std,1.0158003568649292,VectorizedLightFADC diagnostics collected with forward pre-hooks
FCN + FA-DCG V1.1,v1_1,123,first_test_batch,1,VectorizedLightFADC,dilation_param_mean,1.0,VectorizedLightFADC diagnostics collected with forward pre-hooks
FCN + FA-DCG V1.1,v1_1,123,first_test_batch,1,VectorizedLightFADC,dilation_param_std,0.0,VectorizedLightFADC diagnostics collected with forward pre-hooks
FCN + FA-DCG V1.1,v1_1,2026,first_test_batch,0,VectorizedLightFADC,alpha_value,0.49027562141418457,VectorizedLightFADC diagnostics collected with forward pre-hooks
FCN + FA-DCG V1.1,v1_1,2026,first_test_batch,0,VectorizedLightFADC,gate_mean,0.33473390340805054,VectorizedLightFADC diagnostics collected with forward pre-hooks
FCN + FA-DCG V1.1,v1_1,2026,first_test_batch,0,VectorizedLightFADC,gate_std,0.3409613072872162,VectorizedLightFADC diagnostics collected with forward pre-hooks
FCN + FA-DCG V1.1,v1_1,2026,first_test_batch,0,VectorizedLightFADC,depthwise_weight_mean,-0.0013968945713713765,VectorizedLightFADC diagnostics collected with forward pre-hooks
FCN + FA-DCG V1.1,v1_1,2026,first_test_batch,0,VectorizedLightFADC,depthwise_weight_std,0.9930002689361572,VectorizedLightFADC diagnostics collected with forward pre-hooks
FCN + FA-DCG V1.1,v1_1,2026,first_test_batch,0,VectorizedLightFADC,dilation_param_mean,1.0,VectorizedLightFADC diagnostics collected with forward pre-hooks
FCN + FA-DCG V1.1,v1_1,2026,first_test_batch,0,VectorizedLightFADC,dilation_param_std,0.0,VectorizedLightFADC diagnostics collected with forward pre-hooks
FCN + FA-DCG V1.1,v1_1,2026,first_test_batch,1,VectorizedLightFADC,alpha_value,0.5029585957527161,VectorizedLightFADC diagnostics collected with forward pre-hooks
FCN + FA-DCG V1.1,v1_1,2026,first_test_batch,1,VectorizedLightFADC,gate_mean,0.48856765031814575,VectorizedLightFADC diagnostics collected with forward pre-hooks
FCN + FA-DCG V1.1,v1_1,2026,first_test_batch,1,VectorizedLightFADC,gate_std,0.2616559565067291,VectorizedLightFADC diagnostics collected with forward pre-hooks
FCN + FA-DCG V1.1,v1_1,2026,first_test_batch,1,VectorizedLightFADC,depthwise_weight_mean,0.0021331487223505974,VectorizedLightFADC diagnostics collected with forward pre-hooks
FCN + FA-DCG V1.1,v1_1,2026,first_test_batch,1,VectorizedLightFADC,depthwise_weight_std,1.0053257942199707,VectorizedLightFADC diagnostics collected with forward pre-hooks
FCN + FA-DCG V1.1,v1_1,2026,first_test_batch,1,VectorizedLightFADC,dilation_param_mean,1.0,VectorizedLightFADC diagnostics collected with forward pre-hooks
FCN + FA-DCG V1.1,v1_1,2026,first_test_batch,1,VectorizedLightFADC,dilation_param_std,0.0,VectorizedLightFADC diagnostics collected with forward pre-hooks
U-Net + FA-DCG V1.1,v1_1,42,first_test_batch,0,VectorizedLightFADC,alpha_value,0.5248438119888306,VectorizedLightFADC diagnostics collected with forward pre-hooks
U-Net + FA-DCG V1.1,v1_1,42,first_test_batch,0,VectorizedLightFADC,gate_mean,0.3767845630645752,VectorizedLightFADC diagnostics collected with forward pre-hooks
U-Net + FA-DCG V1.1,v1_1,42,first_test_batch,0,VectorizedLightFADC,gate_std,0.3568969666957855,VectorizedLightFADC diagnostics collected with forward pre-hooks
U-Net + FA-DCG V1.1,v1_1,42,first_test_batch,0,VectorizedLightFADC,depthwise_weight_mean,-0.01543348003178835,VectorizedLightFADC diagnostics collected with forward pre-hooks
U-Net + FA-DCG V1.1,v1_1,42,first_test_batch,0,VectorizedLightFADC,depthwise_weight_std,1.0100632905960083,VectorizedLightFADC diagnostics collected with forward pre-hooks
U-Net + FA-DCG V1.1,v1_1,42,first_test_batch,0,VectorizedLightFADC,dilation_param_mean,1.0,VectorizedLightFADC diagnostics collected with forward pre-hooks
U-Net + FA-DCG V1.1,v1_1,42,first_test_batch,0,VectorizedLightFADC,dilation_param_std,0.0,VectorizedLightFADC diagnostics collected with forward pre-hooks
U-Net + FA-DCG V1.1,v1_1,123,first_test_batch,0,VectorizedLightFADC,alpha_value,0.5339133739471436,VectorizedLightFADC diagnostics collected with forward pre-hooks
U-Net + FA-DCG V1.1,v1_1,123,first_test_batch,0,VectorizedLightFADC,gate_mean,0.4174036383628845,VectorizedLightFADC diagnostics collected with forward pre-hooks
U-Net + FA-DCG V1.1,v1_1,123,first_test_batch,0,VectorizedLightFADC,gate_std,0.28144124150276184,VectorizedLightFADC diagnostics collected with forward pre-hooks
U-Net + FA-DCG V1.1,v1_1,123,first_test_batch,0,VectorizedLightFADC,depthwise_weight_mean,-0.0027105966582894325,VectorizedLightFADC diagnostics collected with forward pre-hooks
U-Net + FA-DCG V1.1,v1_1,123,first_test_batch,0,VectorizedLightFADC,depthwise_weight_std,0.9985468983650208,VectorizedLightFADC diagnostics collected with forward pre-hooks
U-Net + FA-DCG V1.1,v1_1,123,first_test_batch,0,VectorizedLightFADC,dilation_param_mean,1.0,VectorizedLightFADC diagnostics collected with forward pre-hooks
U-Net + FA-DCG V1.1,v1_1,123,first_test_batch,0,VectorizedLightFADC,dilation_param_std,0.0,VectorizedLightFADC diagnostics collected with forward pre-hooks
U-Net + FA-DCG V1.1,v1_1,2026,first_test_batch,0,VectorizedLightFADC,alpha_value,0.5244833827018738,VectorizedLightFADC diagnostics collected with forward pre-hooks
U-Net + FA-DCG V1.1,v1_1,2026,first_test_batch,0,VectorizedLightFADC,gate_mean,0.43660861253738403,VectorizedLightFADC diagnostics collected with forward pre-hooks
U-Net + FA-DCG V1.1,v1_1,2026,first_test_batch,0,VectorizedLightFADC,gate_std,0.3870149254798889,VectorizedLightFADC diagnostics collected with forward pre-hooks
U-Net + FA-DCG V1.1,v1_1,2026,first_test_batch,0,VectorizedLightFADC,depthwise_weight_mean,0.000545031507499516,VectorizedLightFADC diagnostics collected with forward pre-hooks
U-Net + FA-DCG V1.1,v1_1,2026,first_test_batch,0,VectorizedLightFADC,depthwise_weight_std,0.9972700476646423,VectorizedLightFADC diagnostics collected with forward pre-hooks
U-Net + FA-DCG V1.1,v1_1,2026,first_test_batch,0,VectorizedLightFADC,dilation_param_mean,1.0,VectorizedLightFADC diagnostics collected with forward pre-hooks
U-Net + FA-DCG V1.1,v1_1,2026,first_test_batch,0,VectorizedLightFADC,dilation_param_std,0.0,VectorizedLightFADC diagnostics collected with forward pre-hooks
